Time_ms, Audio_In, Audio_Out, Filter_State
0.959,   2117538,   1384995,    2000000
0.961,   2177226,   1362024,    2000000
0.962,   2235145,   1337946,    2000000
0.963,   2291250,   1312783,    2000000
0.965,   2345494,   1286553,    2000000
0.966,   2397834,   1259279,    2000000
0.968,   2448227,   1230983,    2000000
0.969,   2496632,   1201687,    2000000
0.970,   2543011,   1171415,    2000000
0.972,   2587324,   1140193,    2000000
0.973,   2629537,   1108044,    2000000
0.974,   2669615,   1074996,    2000000
0.976,   2707525,   1041075,    2000000
0.977,   2743237,   1006309,    2000000
0.979,   2776722,    970726,    2000000
0.980,   2807952,    934355,    2000000
0.981,   2836903,    897225,    2000000
0.983,   2863550,    859366,    2000000
0.984,   2887872,    820810,    2000000
0.986,   2909850,    781587,    2000000
0.987,   2929465,    741730,    2000000
0.988,   2946701,    701271,    2000000
0.990,   2961545,    660242,    2000000
0.991,   2973984,    618677,    2000000
0.993,   2984009,    576610,    2000000
0.994,   2991611,    534075,    2000000
0.995,   2996784,    491106,    2000000
0.997,   2999524,    447738,    2000000
0.998,   2999828,    404007,    2000000
1.000,   2997697,    359947,    2000000
1.001,   2993132,    315596,    2000000
1.002,   2986137,    270988,          0
1.004,   2976717,   -226161,          0
1.005,   2964881,   -181150,          0
1.006,   2950637,   -135991,          0
1.008,   2933997,    -90722,          0
1.009,   2914976,    -45380,          0
1.011,   2893587,        -1,          0
1.012,   2869849,     45379,          0
1.013,   2843782,     90721,          0
1.015,   2815405,    135990,          0
1.016,   2784742,    181149,          0
1.018,   2751818,    226160,          0
1.019,   2716661,    270988,          0
1.020,   2679297,    315596,          0
1.022,   2639758,    359947,          0
1.023,   2598076,    404007,          0
1.025,   2554284,    447738,          0
1.026,   2508419,    491105,          0
1.027,   2460516,    534074,          0
1.029,   2410616,    576610,          0
1.030,   2358759,    618677,          0
1.031,   2304987,    660242,          0
1.033,   2249343,    701271,          0
1.034,   2191873,    741730,          0
1.036,   2132623,    781587,          0
1.037,   2071642,    820810,          0
1.038,   2008979,    859366,          0
1.040,   1944685,    897225,          0
1.041,   1878811,    934355,          0
1.043,   1811413,    970726,          0
1.044,   1742543,   1006309,          0
1.045,   1672259,   1041075,          0
1.047,   1600617,   1074996,          0
1.048,   1527676,   1108044,          0
1.050,   1453494,   1140193,          0
1.051,   1378132,   1171415,          0
1.052,   1301651,   1201687,          0
1.054,   1224113,   1230983,          0
1.055,   1145581,   1259279,          0
1.056,   1066120,   1286553,          0
